Terminologie;;;;;;;;;;;;
Modèle OCDE;;;;;;Directive;;;;;Loi française;Définition
4.4.6;Charge d’impôt non reconnue;"La Charge d’impôt non reconnue désigne : 

(a) toute variation de la charge d’impôt différé dans les comptes sociaux d’une Entité  constitutive se rapportant à une position fiscale incertaine ; et
 
(b) toute variation de la charge d’impôt différé dans les comptes sociaux d’une Entité  constitutive se rapportant à des distributions de bénéfices par une Entité constitutive. ";Disallowed accrual;"Disallowed Accrual means: 

(a) Any movement in deferred tax expense accrued in the financial accounts of a Constituent Entity which relates to an uncertain tax position; and 

(b) Any movement in deferred tax expense accrued in the financial accounts of a Constituent Entity which relates to distributions from a Constituent Entity. ";22, 1, a);Charge d’impôt non reconnue;"	
[Aux fins de l’article 22 de la directive]
«charge d’impôt non reconnue»:

i) toute variation de la charge d’impôt différé dans les états financiers d’une entité constitutive se rapportant à une situation fiscale incertaine; et

ii) toute variation de la charge d’impôt différé dans les états financiers d’une entité constitutive se rapportant à des distributions de bénéfices par une entité constitutive;";Disallowed accrual;"[For the purposes of article 22]
‘disallowed accrual’ means:

(i) any movement in deferred tax expense accrued in the financial accounts of a constituent entity which relates to an uncertain tax position; and

(ii) any movement in deferred tax expense accrued in the financial accounts of a constituent entity which relates to distributions from a constituent entity;";223 VU;Charge d’impôt non reconnue;"[Pour l'application des articles 223 VU à VU octies du CGI] 
La variation de la charge d'impôt différé dans les états financiers d'une entité constitutive, au titre d'un exercice, qui est liée à un traitement fiscal incertain ou à des distributions de bénéfices par une entité constitutive ;"
10.1;Charge fiscale nette;"La Charge fiscale nette correspond au montant net :
(a) des Impôts concernés comptabilisés en charge et des Impôts concernés exigibles et différés comptabilisée en tant qu’impôt sur les bénéfices, y compris les Impôts concernés sur les bénéfices qui sont exclus du calcul du Résultat GloBE ;
(b) de tout impôt différé actif imputable à un déficit au titre de l’Année fiscale ;
(c) de tout Impôt complémentaire minimum qualifié prélevé localement comptabilisé en charge ;
(d) de tout impôt résultant des règles GloBE comptabilisé en charge ; et
(e) de tout Impôt imputé remboursable non qualifié comptabilisé en charge.";Net taxes expense;"Net Taxes Expense means the net amount of:
(a) any Covered Taxes accrued as an expense and any current and deferred Covered Taxes included in the income tax expense, including Covered Taxes on income that is excluded from the GloBE Income or Loss computation;
(b) any deferred tax asset attributable to a loss for the Fiscal Year;
(c) any Qualified Domestic Minimum Top-up Tax accrued as an expense;
(d) any taxes arising pursuant to the GloBE rules accrued as an expense; and
(e) any Disqualified Refundable Imputation Tax accrued as an expense.";16, 1, a);Charge fiscale nette;"Le montant net des éléments suivants:
i) les impôts concernés enregistrés comme une charge et tous les impôts concernés exigibles et différés inclus dans la charge d’impôt sur le revenu, y compris les impôts concernés sur les bénéfices exclus du calcul du bénéfice ou de la perte admissibles;
ii) les impôts différés actifs imputables à un déficit pour l’année fiscale;
iii) les impôts complémentaires nationaux qualifiés enregistrés comme une charge;
iv) les impôts résultant des règles de la présente directive ou, en ce qui concerne les juridictions de pays tiers, du modèle de règles de l’OCDE, enregistrés comme une charge; et
v) les impôts imputés remboursables non qualifiés enregistrés comme une charge;";Net taxes expense;"The net amount of the following items:
(i) covered taxes accrued as an expense and any current and deferred covered taxes included in the income tax expense, including covered taxes on income that is excluded from the qualifying income or loss computation;
(ii) deferred tax assets attributable to a loss for the fiscal year;
(iii) qualified domestic top-up taxes accrued as an expense;
(iv) taxes arising pursuant to the rules of this Directive or, as regards third-country jurisdictions, the OECD Model Rules, accrued as an expense; and
(v) disqualified refundable imputation taxes accrued as an expense;";223 VO, 1°;Charge fiscale nette de l’exercice;"La somme des éléments suivants : 
a) Les impôts couverts au sens du paragraphe 1 de la sous-section 2 comptabilisés en charges et les impôts couverts différés et exigibles inclus dans la charge d’impôt sur les bénéfices, y compris les impôts couverts sur les bénéfices exclus du calcul du résultat qualifié ; 
b) Les actifs d’impôts différés résultant du déficit constaté au titre de l’exercice ; 
c) Les impôts nationaux complémentaires qualifiés comptabilisés en charges ; 
d) Les impôts complémentaires établis au moyen d’une règle d’inclusion du revenu ou d’une règle relative aux bénéfices insuffisamment imposés conformes à la directive (UE) 2022/2523 ou, pour les États non membres de l’Union européenne, au modèle de règles adopté par le Cadre inclusif de l’Organisation de coopération et de développement économiques le 14 décembre 2021 et comptabilisés en charges ; 
e) Les impôts non qualifiés qui ont ouvert droit à imputation ou remboursement au sens du 30° de l’article 223 VK et sont comptabilisés en charges ;"
10.1;Charges de retraite à payer;La différence entre le montant des engagements de retraite à payer compris dans le Résultat net comptable, et le montant versé à un Fonds de pension au titre de l’Année fiscale.;Accrued pension expense;The difference between the amount of pension liability expense included in the Financial Accounting Net Income or Loss and the amount contributed to a Pension Fund for the Fiscal Year.;16, 1, h);Charges de retraite à payer;"La différence entre le montant des charges au titre des engagements en matière de pensions de retraite inclus dans le résultat net comptable et le montant versé à un fonds de pension au titre de l’année fiscale.

[Note : l’art. 16, 1 définit les ""charges de retraite à payer"" mais l’article 16, 2 vise les ""charges de pension de retraite à payer"". Il s’agit d’une erreur car on ne retrouve pas cette divergence dans la version anglaise de la directive.]";Accrued pension expense;The difference between the amount of pension liability expense included in the financial accounting net income or loss and the amount contributed to a pension fund for the fiscal year.;223 VO, 8°;Charges de pension de retraite à payer;"La différence entre le montant des charges au titre des engagements en matière de pensions de retraite pris en compte dans la détermination du résultat net comptable et le montant versé à un fonds de pension au titre de l’exercice ; "
10.1;Coopérative;Une Coopérative désigne une Entité qui commercialise ou acquiert collectivement des biens ou des services pour le compte de ses membres, et qui est soumise, dans la juridiction où elle est située, à un régime fiscal dont l’objectif est d’assurer la neutralité fiscale des transactions se rapportant aux biens ou aux services vendus par les membres ou acquis par eux par l’intermédiaire de la coopérative.;Cooperative;Cooperative means an Entity that collectively markets or acquires goods or services on behalf of its members and that is subject to a tax regime in the jurisdiction in which it is located that is designed to ensure tax neutrality in respect of members’ property or services sold through the cooperative and property or services acquired by members through the cooperative.;39, 1, c);Coopérative;"[Aux fins de l’article 39]
Une entité qui commercialise ou acquiert collectivement des biens ou des services pour le compte de ses membres et qui est soumise, dans la juridiction où elle est située, à un régime fiscal garantissant la neutralité fiscale au regard des biens ou des services vendus ou acquis par ses membres par l’intermédiaire de la coopérative.";Cooperative;"[For the purposes of article 39]
An entity that collectively markets or acquires goods or services on behalf of its members and that is subject to a tax regime in the jurisdiction where it is located that ensures the tax neutrality in respect of goods or services that are sold or acquired by its members through the cooperative.";223 WR, 1°;Coopérative;"Une entité dont l’activité consiste à réaliser l’achat ou la vente en commun de biens ou de services pour le compte de ses membres et qui est soumise, dans l’État ou territoire dans lequel elle est située, à un régime fiscal garantissant la neutralité fiscale au regard des biens ou des services achetés ou vendus par les membres par l’intermédiaire de la coopérative ; "
10.1;Crédit d’impôt remboursable non qualifié;Un Crédit d’impôt remboursable non qualifié désigne un crédit d'impôt qui n’est pas un Crédit d’impôt remboursable qualifié mais qui est remboursable en tout ou partie.;Non-qualified refundable tax credit;Non-Qualified Refundable Tax Credit means a tax credit that is not a Qualified Refundable Tax Credit but that is refundable in whole or in part.;3, 39;Crédit d’impôt remboursable non qualifié;"Crédit d’impôt qui n’est pas un crédit d’impôt remboursable qualifié, mais qui est remboursable en tout ou en partie;";Non-qualified refundable tax credit;"A tax credit that is a not a qualified refundable tax credit but that is refundable in whole or in part;";223 VK, 2°;Crédit d’impôt non qualifié;"Un avantage en impôt remboursable en tout ou en partie qui ne répond pas à la définition posée au 3°.
Un avantage en impôt non remboursable est assimilé à un crédit d’impôt non qualifié.

[Ajout LFI 2025 : Un crédit d’impôt transférable non négociable au sens de l’article 223 VK, 3° ter est assimilé à un crédit d’impôt non qualifié.]"
10.1;Crédit d’impôt remboursable qualifié;Un Crédit d’impôt remboursable qualifié désigne un crédit d’impôt remboursable conçu de telle sorte qu’il doit être versé en trésorerie ou liquidités dans les quatre ans à compter du moment où l’Entité constitutive satisfait aux conditions d’octroi du crédit en vertu de la législation de la juridiction qui accorde le crédit. Un crédit d’impôt partiellement remboursable est considéré comme un Crédit d’impôt remboursable qualifié à hauteur du montant qui doit être versé en trésorerie ou en liquidités dans les quatre ans à compter du moment où l’Entité constitutive satisfait aux conditions d’octroi du crédit en vertu de la législation de la juridiction qui accorde le crédit. Ne sont pas considérés comme Crédits d’impôt remboursables qualifiés les montants pouvant donner lieu à un crédit ou à un remboursement d’impôt en vertu d’un Impôt imputable qualifié ou d’un Impôt imputé remboursable non qualifié.;Qualified refundable tax credit;Qualified Refundable Tax Credit means a refundable tax credit designed in a way such that it must be paid as cash or available as cash equivalents within four years from when a Constituent Entity satisfies the conditions for receiving the credit under the laws of the jurisdiction granting the credit. A tax credit that is refundable in part is a Qualified Refundable Tax Credit to the extent it must be paid as cash or available as cash equivalents within four years from when a Constituent Entity satisfies the conditions for receiving the credit under the laws of the jurisdiction granting the credit. A Qualified Refundable Tax Credit does not include any amount of tax creditable or refundable pursuant to a Qualified Imputation Tax or a Disqualified Refundable Imputation Tax.;3, 38;Crédit d’impôt remboursable qualifié;"a) un crédit d’impôt remboursable conçu de telle sorte qu’il doit être versé à l’entité constitutive en espèces ou en équivalent de trésorerie dans les quatre ans à compter de la date à laquelle l’entité constitutive est en droit de bénéficier du crédit d’impôt remboursable en vertu de la législation de la juridiction qui accorde le crédit; ou
b) si le crédit d’impôt est partiellement remboursable, la part du crédit d’impôt remboursable à verser à l’entité constitutive en espèces ou en équivalent de trésorerie dans les quatre ans à compter de la date à laquelle l’entité constitutive est en droit de bénéficier du crédit d’impôt partiellement remboursable;
Un crédit d’impôt remboursable qualifié ne comprend aucun montant d’impôt qui peut être crédité ou remboursé au titre d’un impôt imputé qualifié ou d’un impôt imputé remboursable non qualifié;";Qualified refundable tax credit;"(a) a refundable tax credit designed in such a way that it is to be paid as a cash payment or a cash equivalent to a constituent entity within four years from the date when the constituent entity is entitled to receive the refundable tax credit under the laws of the jurisdiction granting the credit; or
(b) if the tax credit is refundable in part, the portion of the refundable tax credit that is payable as a cash payment or a cash equivalent to a constituent entity within four years from the date when the constituent entity is entitled to receive the partial refundable tax credit;
a qualified refundable tax credit does not include any amount of tax creditable or refundable pursuant to a qualified imputation tax or a disqualified refundable imputation tax;";223 VK, 3°;Crédit d’impôt qualifié;"Un avantage en impôt remboursable versé à l’entité constitutive en trésorerie ou en équivalent de trésorerie dans les quatre ans à compter de la date à laquelle elle est en droit d’en bénéficier en vertu de la législation de l’État ou territoire qui l’accorde. 
Un avantage en impôt partiellement remboursable est un crédit d’impôt qualifié à hauteur de la part remboursable de cet avantage, sous réserve que cette dernière soit versée à l’entité constitutive dans les conditions mentionnées à l’alinéa précédent. 
Ne sont pas considérés comme des crédits d’impôt qualifiés les remboursements d’impôt en vertu d’un impôt imputé qualifié ou d’un impôt imputé remboursable non qualifié ;

[Ajout LFI 2025 : Un crédit d’impôt transférable négociable au sens de l’article 223 VK, 3° bis est assimilé à un crédit d’impôt non qualifié.]"
10.1;Dépenses non admises en déduction par principe ;"Les Dépenses non admises en déduction par principe désignent :
(a) les charges constatées par l’Entité constitutive au titre de paiements illégaux, comme des pots-de-vin et des détournements de fonds ; et
(b) les charges constatées par l’Entité constitutive au titre d’amendes et de pénalités, d’un montant supérieur ou égal à 50 000 EUR (ou d’un montant équivalent dans la monnaie fonctionnelle utilisée pour calculer le Résultat net comptable de l’Entité constitutive).";Policy disallowed expenses;"Policy Disallowed Expenses means:
(a) expenses accrued by the Constituent Entity for illegal payments, including bribes and kickbacks; and
(b) expenses accrued by the Constituent Entity for fines and penalties that equal or exceed EUR 50 000 (or an equivalent in the functional currency in which the Constituent Entity’s Financial Accounting Net Income or Loss was calculated).";16, 1, f);Dépenses non admises par principe;"i) les charges constatées par l’entité constitutive au titre de paiements illégaux, comme des pots-de-vin et des détournements de fonds; et
ii) les charges constatées par l’entité constitutive au titre d’amendes et de pénalités, d’un montant égal ou supérieur à 50 000 EUR ou d’un montant équivalent dans la monnaie fonctionnelle utilisée pour calculer le résultat net comptable de l’entité constitutive;";Policy disallowed expense;"(i) an expense accrued by the constituent entity for illegal payments, including bribes and kickbacks; and
(ii) an expense accrued by the constituent entity for fines and penalties that equal or exceed EUR 50 000 or an equivalent amount in the functional currency in which the financial accounting net income or loss of the constituent entity is computed;";223 VO, 6°;Dépenses non admises;"a) Les charges comptabilisées par l’entité constitutive au titre de paiements illégaux, notamment les pots-de-vin et les détournements de fonds ; et 
b) Les charges comptabilisées par l’entité constitutive au titre d’amendes et de pénalités, d’un montant égal ou supérieur à 50 000 euros ou d’un montant équivalent dans la monnaie fonctionnelle utilisée en comptabilité servant au calcul du résultat net comptable de l’entité ; "
4.6.1;Diminution non significative des Impôts concernés;Une diminution non significative des Impôts concernés est une diminution du Montant ajusté des Impôts concernés déterminé, pour la juridiction, au titre d’une Année fiscale qui est inférieure à 1 million EUR;Immaterial decrease in Covered Taxes;An immaterial decrease in Covered Taxes is an aggregate decrease of less than EUR 1 million in the Adjusted Covered Taxes determined for the jurisdiction for a Fiscal Year.;25, 1, al. 3;Diminution non significative des impôts concernés;Une diminution non significative des impôts concernés est une diminution agrégée de moins de 1 000 000 EUR du montant ajusté des impôts concernés déterminé pour la juridiction au titre de l’année fiscale.;Immaterial decrease in covered taxes;An immaterial decrease in covered taxes shall be an aggregate decrease of less than EUR 1 000 000 in the adjusted covered taxes determined for the jurisdiction for the fiscal year.;223 VX, III;Diminution non significative du montant corrigé des impôts couverts;Est considérée comme non significative une diminution totale du montant corrigé des impôts couverts, pour l’État ou le territoire au titre de cet exercice, inférieure à un million d’euros.
4.6.1;Diminution significative des Impôts concernés;v. Diminution non significative des Impôts concernés;Material decrease in Covered Taxes;v. Immaterial decrease in Covered Taxes;25, 1, al. 3;Diminution significative des Impôts concernés;v. Diminution non significative des Impôts concernés;Material decrease in Covered Taxes;v. Immaterial decrease in Covered Taxes;223 VX, III;Diminution significative du montant corrigé des impôts couverts;v. Diminution non significative du montant corrigé des impôts couverts
10.1;Dividendes exclus;"Les Dividendes exclus désignent les dividendes ou les autres distributions perçus ou à recevoir au titre
d’un Titre de participation, à l’exception :
(a) des Titres de portefeuille à court terme ; et
(b) d’un Titre de participation dans une Entité d’investissement faisant l’objet d’une option exercée en vertu de l’Article 7.6.";Excluded dividends;"Excluded Dividends means dividends or other distributions received or accrued in respect of an Ownership Interest, except for:
(a) a Short-term Portfolio Shareholding, and
(b) an Ownership Interest in an Investment Entity that is subject to an election under Article 7.6.";16, 1, b);Dividendes exclus;"Les dividendes ou autres distributions perçus ou à recevoir au titre d’une participation, à l’exception d’un dividende ou d’une autre distribution perçu ou à recevoir au titre:
i) d’une participation:
— détenue par le groupe dans une entité ouvrant droit à moins de 10 % des bénéfices, des capitaux ou des réserves, ou à des droits de vote de cette entité à la date de la distribution ou de la disposition («titres de portefeuille»); et
— qui est la propriété économique de l’entité constitutive percevant ou appelée à recevoir les dividendes ou autres distributions depuis moins d’un an à la date de la distribution;
ii) d’une participation dans une entité d’investissement faisant l’objet d’une option exercée en vertu de l’article 43;";Excluded dividend;"A dividend or other distribution received or accrued in respect of an ownership interest, except a dividend or other distribution received or accrued in respect of:
(i) an ownership interest:
— held by the group in an entity, that carries rights to less than 10 % of the profits, capital or reserves, or voting rights of that entity at the date of the distribution or disposition (a ‘portfolio shareholding’); and
— that is economically owned by the constituent entity that receives or accrues the dividend or other distribution for less than one year at the date of the distribution;
(ii) an ownership interest in an investment entity that is subject to an election pursuant to Article 43;";223 VO, 2°;Dividendes exclus;"Les dividendes ou autres distributions perçus ou à percevoir par une entité constitutive, à l’exception de ceux perçus ou à percevoir afférents à : 
a) Des titres de portefeuille dont elle a la propriété économique depuis moins d’un an à la date de la distribution ; 
b) Une participation dans une entité faisant l’objet de l’option mentionnée au 1 de l’article 223 WV bis ; 
c) Des titres pour lesquels la réglementation comptable conduit l’entité constitutive qui les a émis à constater une augmentation du montant des charges prises en compte dans le calcul de son résultat qualifié à raison des dividendes ainsi versés ;"
10.1;Distorsion importante de la concurrence;Une Distorsion importante de la concurrence au titre de l’application d'un principe ou d'une procédure spécifique dans le cadre d'un ensemble de principes comptables généralement acceptés désigne une application qui entraîne une variation totale supérieure à 75 millions EUR au titre d'une Année fiscale, par comparaison avec le montant qui aurait été obtenu en appliquant le principe ou la procédure IFRS correspondante. Lorsque l’application d'un principe ou d'une procédure spécifique entraîne une Distorsion importante de la concurrence, le traitement comptable de toute entrée ou transaction soumise à ce principe ou à cette procédure doit être ajusté pour se conformer au traitement requis pour l’entrée ou la transaction en vertu des IFRS, conformément aux Instructions administratives agréées éventuelles.;Material competitive distorsion;Material Competitive Distortion in respect of the application of a specific principle or procedure under a set of generally accepted accounting principles means an application that results in an aggregate variation greater than EUR 75 million in a Fiscal Year as compared to the amount that would have been determined by applying the corresponding IFRS principle or procedure. Where the application of a specific principle or procedure results in a Material Competitive Distortion, the accounting treatment of any item or transaction subject to that principle or procedure must be adjusted to conform to the treatment required for the item or transaction under IFRS in accordance with any Agreed Administrative Guidance.;3, 27;Distorsion importante de la concurrence;"Dans le cadre de l’application d’un principe ou d’une procédure spécifique au titre d’un ensemble de principes comptables généralement acceptés, une application qui entraîne une variation agrégée des produits ou charges de plus de 75 000 000 EUR au cours d’une année fiscale, par comparaison avec le montant qui aurait été obtenu en appliquant le principe ou la procédure correspondante conformément aux normes internationales d’information financière [IFRS ou IFRS adoptées par l’Union au titre du règlement (CE) no 1606/2002];";Material competitive distorsion;"In respect of the application of a specific principle or procedure under a set of generally acceptable accounting principles, an application that results in an aggregate variation of income or expense of more than EUR 75 000 000 in a fiscal year as compared to the amount that would have been determined by applying the corresponding principle or procedure under International Financial Reporting Standards (IFRS or IFRS as adopted by the Union pursuant to Regulation (EC) No 1606/2002);";223 VK, 4°;Écart significatif;"Dans le cadre de l’application d’une règle ou d’un principe spécifique prévu par une norme de comptabilité financière, une différence dans le montant agrégé des produits ou charges de plus de 75 millions d’euros au cours d’un exercice par comparaison avec le montant qui aurait été obtenu en application de la règle correspondante prévue par les normes comptables internationales ;"
10.1;Entité;"Une Entité désigne :
(a) toute personne morale (autre qu’une personne physique) ; ou
(b) une structure qui établit des comptes sociaux distincts, comme une société de personnes ou un trust.";Entity;"Entity means:
(a) any legal person (other than a natural person); or
(b) an arrangement that prepares separate financial accounts, such as a partnership or trust. ";3, 1;Entité;Toute construction juridique qui établit des états financiers distincts ou toute personne morale.;Entity;Any legal arrangement that prepares separate financial accounts or any legal person.;223 VK, 5°;Entité;"Un dispositif juridique qui établit des états financiers distincts ou une personne morale ; "
1.3.1;Entité constitutive;"Une Entité constitutive désigne : 
(a) toute Entité qui fait partie d'un Groupe ; et 
(b) tout Établissement stable d’une Entité principale qui relève du paragraphe (a). ";Constituent entity;"A Constituent Entity is: 
(a) any Entity that is included in a Group; and 
(b) any Permanent Establishment of a Main Entity that is within paragraph (a). ";3, 2;Entité constitutive;Entité ou établissement stable d’une entité principale faisant partie d'un groupe d'entreprises multinationales ou d'un groupe national de grande envergure.;Constituent entity;"(a) any entity that is part of an MNE group or of a large-scale domestic group; and
(b) any permanent establishment of a main entity that is part of an MNE group referred to in point (a);
";223 VK, 6°;Entité constitutive;"a) Une entité qui fait partie d’un groupe d’entreprises multinationales ou d’un groupe national ; 
b) Ou un établissement stable dont le siège fait partie d’un groupe d’entreprises multinationales ;"
10.1;Entité constitutive à détention minoritaire;Une Entité constitutive à détention minoritaire désigne une Entité constitutive dans laquelle l’Entité mère ultime détient directement ou indirectement un Titre de participation de 30 % ou moins.  ;Minority-Owned Constituent Entity;Minority-Owned Constituent Entity means a Constituent Entity where the Ultimate Parent Entity has a direct or indirect Ownership Interest in that Entity of 30% or less.  ;31, 1, a);Entité constitutive à détention minoritaire;"[Aux fins de l’article 31]
«entité constitutive à détention minoritaire»: une entité constitutive dont l’entité mère ultime détient une participation directe ou indirecte de 30 % ou moins.";Minority-Owned Constituent Entity;"[For the purposes of article 31]
‘minority-owned constituent entity’ means a constituent entity in which the ultimate parent entity has a direct or indirect ownership interest of 30 % or less.";223 WE, 1°;Entité constitutive à détention minoritaire;"[Pour l'application des articles 223 WE à 223 WE ter]
Entité constitutive à détention minoritaire : une entité constitutive dont l'entité mère ultime détient, directement ou indirectement, une participation inférieure ou égale à 30 %."
10.1;Entité constitutive déclarante;Une Entité constitutive déclarante désigne une entité qui dépose la Déclaration d’information GloBE en vertu de l’article 8.1.;Filing constituent entity;Filing Constituent Entity is an Entity filing the GloBE Information Return in accordance with Article 8.1.;3, 8;Entité constitutive déclarante;Entité déposant une déclaration d’information pour l’impôt complémentaire conformément à l'article 44.;Filing constituent entity;"An entity filing a top-up tax information return in accordance with Article 44;";223 VK, 7°;Entité constitutive déclarante;"Une entité constitutive qui dépose une déclaration conformément au 2 de l’article 223 WW ;"
